long,lat,id,nombre,recorrido,parada,numero_de_parada,atractivos,observaciones,calle_nombre,calle_altura,calle_cruce,barrio,comuna,direccion,codigo_postal,codigo_postal_argentino
-58.37659384535421,-34.6065246742632,1,Diagonal Norte,Azul,00 - Inicio del Recorrido,0,Obelisco / Catedral Metropolitana / Casa Rosada / Museo del Bicentenario / Galería Güemes / Cabildo de Buenos Aires,,"SAENZ PEÑA, ROQUE, PRES. AV.",728,,San Nicolas,Comuna 1,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 728",1035,C1035AAP
-58.3784380555632,-34.60869362618261,2,Avenida de Mayo,Azul,01,1,Casa Rosada / Museo del Bicentenario / Café Tortoni / Manzana de las Luces / Cabildo de Buenos Aires / Teatro Avenida,,DE MAYO AV.,853,,Monserrat,Comuna 1,DE MAYO AV. 853,1084,C1084AAD
-58.388498801916704,-34.6088216907645,3,Plaza del Congreso,Azul,02,2,Congreso de la Nación Argentina / Palacio Barolo / Pasaje Rivarola / Hotel Castelar / Monumento a los Dos Congresos,,RIVADAVIA AV.,1153,,San Nicolas,Comuna 1,RIVADAVIA AV. 1153,1033,C1033AAB
-58.371664901933094,-34.6126101994076,4,Paseo de la Historieta,Azul,03,3,Escultura de Mafalda / Puente de la Mujer / Fragata Sarmiento / Basílica de San Francisco /  Plaza de Mayo,,BELGRANO AV.,380,,Monserrat,Comuna 1,BELGRANO AV. 380,1092,C1092AAQ
-58.3562094974957,-34.6291258949305,5,Usina del Arte,Azul,06,6,Caminito / Museo Quinquela Martín / Museo del Cine / La Torre del Fantasma / Estadio Boca Juniors,,"CAFFARENA, AGUSTIN R.",50,,Boca,Comuna 4,"CAFFARENA, AGUSTIN R. 50",1157,C1157ADB
-58.36434965818871,-34.6364609632924,6,La Bombonera (Estadio Boca Juniors),Azul,07,7,Caminito / Museo Quinquela Martín / Teatro de la Ribera / Puente Transbordador,,BRANDSEN,805,,Boca,Comuna 4,BRANDSEN 805,1161,C1161AAQ
-58.3596709178074,-34.6174387979285,7,Costanera Sur Bis (sólo fines de semana),Azul,09 - BIS,9,Paseo de la Gloria / Monumento al Tango / Puente de la Mujer / Fragata Sarmiento / Parque Micaela Bastidas,,LANTERI JULIETA,0,"VERA PEÑALOZA,  ROSARIO",Puerto Madero,Comuna 1,"LANTERI JULIETA y VERA PEÑALOZA,  ROSARIO",,
-58.3632300729673,-34.604670509394104,8,Puerto Madero,Azul,10,10,Puente de la Mujer / Buque Escuela Corbeta Uruguay / Museo del Humor / Centro Cultural Néstor Kirchner / Experiencias Náuticas,,MANSO JUANA,700,,Puerto Madero,Comuna 1,MANSO JUANA 700,1107,C1107CBN
-58.364690228560704,-34.599481834643896,9,Río de la Plata (Experiencias náuticas),Azul,11,11,Reserva Ecológica / Colección de Arte Amalia Lacroze de Fortabat / Circuitos Gastronómicos Peatonales / Centro Cultural Néstor Kirchner / Galerías Pacífico,,COSSETTINI OLGA,150,,Puerto Madero,Comuna 1,"COSSETTINI, OLGA 150",1107,C1107CCD
-58.3944291732945,-34.5822334909221,10,Floralis Genérica,Rojo,15,15,Museo Nacional de Bellas Artes / Biblioteca Nacional / Museo Malba / Museo Nacional de Arte Decorativo / Cementerio de la Recoleta,,"FIGUEROA ALCORTA, PRES. AV.",2263,,Recoleta,Comuna 2,"FIGUEROA ALCORTA, PRES. AV. 2263",1425,C1425CKB
-58.4040303736376,-34.5768865276051,11,Malba (conexión),Rojo,16,16,Jardín Japonés / Museo de Arte Popular J. Hernández / Ecoparque Interactivo / Planetario / Parque Tres de Febrero y Rosedal,Parada de conexión con recorrido Verde (parada 01),"FIGUEROA ALCORTA, PRES. AV.",3461,,Palermo,Comuna 14,"FIGUEROA ALCORTA, PRES. AV. 3461",1425,C1425CLA
-58.422852384372604,-34.5716416055146,12,Bosques de Palermo - Rosedal (conexión),Rojo,20,20,Mezquita Centro Cultural Islámico Rey Fahd / Campo de Polo / Hipódromo Argentino / Rosedal / Planetario Galileo Galilei,Parada de conexión con recorrido Verde (parada 08),DEL LIBERTADOR AV.,3876,,Palermo,Comuna 14,DEL LIBERTADOR AV. 3876,1425,C1425ABY
-58.4263350630649,-34.5699951739863,13,Campo Arg. de Polo -Hipódromo de Palermo,Verde,07,7,Campo Argentino de Polo / Hipódromo Argentino de Palermo / Paseo del Rosedal / Planetario Galileo Galilei / Museo Sívori,,DEL LIBERTADOR AV.,4000,,Palermo,Comuna 14,DEL LIBERTADOR AV. 4000,1426,C1426BWN
-58.41415714096999,-34.5755773310782,14,Monumento a los españoles,Rojo,21,21,Jardín Botánico Carlos Thays / Museo Evita / Jardín Japonés / Paseo del Rosedal / Sociedad Rural Argentina,Parada de conexión con recorrido Verde (parada 11),DEL LIBERTADOR AV.,3260,,Palermo,Comuna 14,DEL LIBERTADOR AV. 3260,1425,C1425ABS
-58.3931053710279,-34.584442819372605,15,Museo Nacional de Bellas Artes,Rojo,22,22,Floralis Genérica / Biblioteca Nacional / Basílica Nuestra Señora del Pilar / Centro Cultural Recoleta / Cementerio de la Recoleta,,DEL LIBERTADOR AV.,1433,,Recoleta,Comuna 2,DEL LIBERTADOR AV. 1433,1016,C1016ABC
-58.382580322666904,-34.5996511726599,16,Teatro Colón,Rojo,24,24,Obelisco / Teatro Colón / Teatro Cervantes / Galerías Pacífico / Plaza San Martín,,CERRITO,760,,San Nicolas,Comuna 1,CERRITO 760,1010,C1010AAP
-58.41076210130711,-34.5707901770086,17,Planetario,Verde,02,2,Planetario Galileo Galileo / Museo de Artes Plásticas Sívori / Paseo el Rosedal / Ecoparque Interactivo / Jardín Japonés,,SARMIENTO AV.,4200,,Palermo,Comuna 14,SARMIENTO AV. 4200,1425,C1425FHP
-58.422615112521,-34.571703148763106,18,Bosques de Palermo (conexión),Verde,08,8,Mezquita Centro Cultural Islámico Rey Fahd / Campo de Polo / Hipódromo Argentino / Rosedal / Planetario Galileo Galilei,Parada de conexión con recorrido Rojo (parada 20),DEL LIBERTADOR AV.,0,"ISABEL, INFANTA AV.",Palermo,Comuna 14,"DEL LIBERTADOR AV. y ISABEL, INFANTA AV.",,
-58.3703313582265,-34.6170391345505,19,San Telmo,Azul,04,4,Plaza Dorrego / Iglesia San Pedro Telmo / Museo MAMBA / Museo MACBA / Mercado de San Telmo,,INDEPENDENCIA AV.,331,,San Telmo,Comuna 1,INDEPENDENCIA AV. 331,1099,C1099AAD
-58.3618533233379,-34.639886767909395,20,La Boca - Caminito,Azul,08,8,Usina del Arte / Museo Quinquela Martín / Teatro de la Ribera / Puente Transbordador / Estadio Boca Juniors,,DON PEDRO DE MENDOZA AV.,1959,,Boca,Comuna 4,DON PEDRO DE MENDOZA AV. 1959,1169,C1169AAD
-58.373500228528606,-34.5984028994884,21,Galerías Pacífico (Calle Florida),Azul,12,12,Teatro Colón / Plaza San Martín / Galerías Pacífico / Palacio Paz - Círculo Militar / Iglesia Santa Catalina de Siena,,CORDOBA AV.,429,,Retiro,Comuna 1,CORDOBA AV. 429,1054,C1054AAD
-58.37463286388479,-34.5951680071325,22,Plaza San Martín,Rojo,14,14,Basílica Del Santísimo Sacramento / Museo de la Inmigración y Museo de Arte Contemporáneo / Torre Monumental / Museo Nacional Ferroviario Raúl Scalabrini Ortiz / Palacio San Martín,,FLORIDA,1095,,Retiro,Comuna 1,FLORIDA 1095,1005,C1005AAU
-58.455330616550505,-34.561163701300394,23,Belgrano - Barrio Chino,Verde,06,6,Museo Enrique Larreta / Arco Inaugural Barrio Chino / Barrancas de Belgrano / Museo Sarmiento / Iglesia Inmaculada Concepción del Belgrano,,JURAMENTO AV.,2291,,Belgrano,Comuna 13,JURAMENTO AV. 2291,1428,C1428DNK
-58.3906645532974,-34.587704446034195,24,Recoleta,Rojo,23,23,Centro Cultural Recoleta / Cementerio de la Recoleta / Basílica Nuestra Señora del Pilar / Museo Nacional de Bellas Artes / Floralis Genérica,,"QUINTANA, MANUEL, PRES. AV.",555,,Recoleta,Comuna 2,"QUINTANA, MANUEL, PRES. AV. 555",1129,C1129ABB
-58.4363130094847,-34.542332334228,25,Parque de la Memoria,Verde,04,4,Converse Skate Plaza / Monumento a los Policías Caídos en el Cumplimiento del Deber / Tierra Santa / Estadio River Plate / Club Hípico Argentino,,"OBLIGADO RAFAEL, AV.COSTANERA",7200,,Belgrano,Comuna 13,"OBLIGADO RAFAEL, AV.COSTANERA 7200",1428,C1428EIW
-58.4490015526526,-34.546850984700605,26,El Monumental (Estadio River Plate),Verde,05,5,Museo Deportivo River / Jardín de Esculturas / Paseo de las Américas y Converse Skate Plaza / Museo Islas Malvinas e Islas del Atlántico Sur / Centro Cultural de la Memoria Haroldo Conti / Club Hípico Argentino,,"FIGUEROA ALCORTA, PRES. AV.",7576,,Belgrano,Comuna 13,"FIGUEROA ALCORTA, PRES. AV. 7576",1428,C1428BCY
-58.370586724771,-34.6216003581025,27,Plaza Dorrego (MAMBA/MACBA),Azul,05,5,Plaza Dorrego / Iglesia San Pedro Telmo / Museo MAMBA / Museo MCABA / Mercado de San Telmo,,SAN JUAN AV,350,,San Telmo,Comuna 1,SAN JUAN AV. 350,1147,C1147AAO
-58.3569169293744,-34.6169448972558,28,Costanera Sur,Azul,09,9,Paseo de la Gloria / Monumento al Tango / Puente de la Mujer / Fragata Sarmiento / Parque Micaela Bastidas,,"Achaval Rodriguez, T., Dr. Av.",0,Padre M. L. Migone,Puerto Madero,Comuna 1,"ACHAVAL RODRIGUEZ, T., DR. AV. y PADRE M. L. MIGONE",,
-58.3812038141262,-34.5971890010704,29,Av 9 de Julio (conexión),Rojo,13,13,Peatonal Florida / Teatro Colón / Plaza San Martín / Galerías Pacífico / Museo de Arte Hispanoamericano Isaac Fernández Blanco,,PELLEGRINI CARLOS,955,,Retiro,Comuna 1,"PELLEGRINI, CARLOS 955",1009,C1009ABS
-58.4205937822937,-34.5806453273106,30,Plaza Italia,Rojo,17,17,Museo Evita / Jardín Japonés / Jardín Botánico Carlos Thays / Rosedal / Ecoparque Interactivo,,SARMIENTO AV.,2602,,Palermo,Comuna 14,SARMIENTO AV. 2602,1425,C1425FGN
-58.4247526587848,-34.5891240013532,31,Palermo 1,Rojo,18,18,Plazoleta Julio Cortázar (Ex Plaza Serrano) / Jardín Botánico Carlos Thays / Plaza Italia / Ecoparque Interactivo / Pasajes porteños,,MALABIA,1861,,Palermo,Comuna 14,MALABIA 1861,1414,C1414DMK
-58.428499708798,-34.5813749031565,32,Distrito Arcos 1,Rojo,19,19,Distrito Arcos / Centro Cultural de la Ciencia / La Rural / Ecoparque Interactivo / Paseo del Rosedal,,PARAGUAY,4950,,Palermo,Comuna 14,PARAGUAY 4950,1425,C1425BTB
-58.404143366753104,-34.5768166078324,33,Malba (conexión),Verde,01,1,Jardín Japonés / Museo de Arte Popular J. Hernández / Ecoparque Interactivo / Planetario / Parque 3 de Febrero y Rosedal,Parada de conexión con recorrido Rojo (parada 16),"FIGUEROA ALCORTA, PRES. AV.",3461,,Palermo,Comuna 14,"FIGUEROA ALCORTA, PRES. AV. 3461",1425,C1425CLA
-58.4040569780828,-34.563525806276495,34,Club de Pescadores,Verde,03,3,Club de pescadores / Parque Costanera Norte Punta Carrasco / Corredor Costanera Norte / Parque 3 de Febrero,,"OBLIGADO RAFAEL, AV.COSTANERA",2500,,Palermo,Comuna 14,"OBLIGADO RAFAEL, AV.COSTANERA 2500",,
-58.4269232830466,-34.5823704018352,35,Distrito Arcos 2,Verde,09,9,Distrito Arcos / Centro Cultural de la Ciencia / La Rural / Ecoparque Interactivo / Paseo del Rosedal,,FRAY JUSTO SANTAMARIA DE ORO,2204,,Palermo,Comuna 14,FRAY JUSTO SANTAMARIA DE ORO 2204,1425,C1425FOF
-58.425386484548795,-34.5882595475588,36,Palermo 2,Verde,10,10,Plazoleta Julio Cortázar (Ex Plaza Serrano) / Jardín Botánico Carlos Thays / Plaza Italia / Ecoparque Interactivo / Pasajes porteños,,ARMENIA,1895,,Palermo,Comuna 14,ARMENIA 1895,1414,C1414DKM
-58.414015196304504,-34.575629923857605,37,Monumento a los españoles (conexión),Verde,11,11,Jardín Botánico Carlos Thays / Museo Evita / Jardín Japonés / Paseo del Rosedal / Sociedad Rural Argentina,Parada de conexión con recorrido Rojo (parada 21),DEL LIBERTADOR AV.,3260,,Palermo,Comuna 14,DEL LIBERTADOR AV. 3260,1425,C1425ABS
